ShowTitle,SeasonDomainId,ShowSeasonId,NetworkDomainId
Baker Street Letters,34,9910,52
Baker Street Letters,34,9911,52
Baker Street Letters,34,9912,52
Baker Street Letters,34,9913,52
Baker Street Letters,34,9914,52
Baker Street Letters,34,9915,52
Baker Street Letters,35,9916,52
Barnes,37,406,75
Barnes,37,407,75
Barnes,37,3290,75
Barnes,37,3291,75
Barnes,37,3292,75
Barnes,37,3293,75
Barnes,37,3294,75
Barnes,37,3295,75
Barnes,37,3296,75
Barnes,37,3297,75
Barnes,37,3298,75
Barnes,37,3299,75
Barnes,38,9673,75
Batwoman,883,13694,75
Batwoman,837,13695,75
Batwoman,837,13781,75
Batwoman,883,13836,75
Batwoman,883,13839,75
Batwoman,882,13935,75
Batwoman,882,13936,75
Batwoman,882,13964,75
Batwoman,882,14031,75
Batwoman,882,14059,75
Beck & Call,40,869,56
Beck & Call,40,5911,56
Beck & Call,40,5912,56
Beck & Call,40,5913,56
Beck & Call,40,5914,56
Beck & Call,40,5915,56
Bedford Diaries,39,1129,55
Bedford Diaries,39,1130,55
Bedford Diaries,39,1131,55
Bedford Diaries,39,7222,55
Bedford Diaries,39,7223,55
Bedford Diaries,39,7224,55
Bedford Diaries,39,7225,55
Bedford Diaries,39,7226,55
Bedford Diaries,39,7227,55
Bedford Diaries,39,7228,55
Bedford Diaries,39,7229,55
Bedford Diaries,39,7230,55
Bedford Diaries,39,7231,55
Bedford Diaries,39,7232,55
Bedford Diaries,39,7233,55
Bedford Diaries,39,7234,55
Bedford Diaries,39,7235,55
Bedford Diaries,39,7236,55
Bedford Diaries,39,7237,55
Bedford Diaries,39,7238,55
Bedford Diaries,39,7239,55
Bedford Diaries,39,7240,55
Bedford Diaries,39,7241,55
Bedford Diaries,39,9245,55
Bedford Diaries,39,9246,55
Bedford Diaries,39,9684,55
Bedford Diaries,40,12386,54
Being Max Webster,40,312,53
Being Max Webster,40,2735,53
Being Max Webster,40,2736,53
Being Max Webster,40,2737,53
Being Max Webster,40,2738,53
Being Max Webster,40,2739,53
Being Max Webster,40,2740,53
Being Max Webster,41,12347,54
Believe,588,12449,67
Believe,32,12528,54
Believe,32,12547,54
Believe,588,12644,54
Believe,617,12772,54
Better With You,34,9975,52
Better With You,35,9976,52
Better With You,34,9977,52
Better With You,34,9978,52
Better With You,34,9979,52
Better With You,34,9980,52
Better With You,34,9981,52
Better With You,35,10189,52
Better With You,34,10583,52
Better With You,34,10584,52
Better With You,34,10585,52
Better With You,34,10586,52
Better With You,34,10587,52
Better With You,34,10588,52
Better With You,34,10784,52
Better With You,34,10785,52
Better With You,34,10786,52
Better With You,34,10787,52
Better With You,34,10788,52
Better With You,34,10789,52
Better With You,34,10790,52
Better With You,34,10791,52
Better With You,34,10792,52
Better With You,34,10793,52
Better With You,34,10794,52
Better With You,33,11238,52
Better With You,33,11244,52
Better With You,33,11246,52
Better With You,33,11251,52
Big Bang Theory,37,313,53
Big Bang Theory,37,314,53
Big Bang Theory,37,315,53
Big Bang Theory,37,316,53
Big Bang Theory,36,317,53
Big Bang Theory,36,318,53
Big Bang Theory,36,319,53
Big Bang Theory,36,320,53
Big Bang Theory,35,321,53
Big Bang Theory,35,322,53
Big Bang Theory,35,323,53
Big Bang Theory,34,324,53
Big Bang Theory,34,325,53
Big Bang Theory,33,326,53
Big Bang Theory,33,327,53
Big Bang Theory,37,2741,53
Big Bang Theory,37,2742,53
Big Bang Theory,37,2743,53
Big Bang Theory,37,2744,53
Big Bang Theory,37,2745,53
Big Bang Theory,37,2746,53
Big Bang Theory,37,2747,53
Big Bang Theory,37,2748,53
Big Bang Theory,37,2749,53
Big Bang Theory,37,2750,53
Big Bang Theory,37,2751,53
Big Bang Theory,37,2752,53
Big Bang Theory,37,2753,53
Big Bang Theory,37,2754,53
Big Bang Theory,37,2755,53
Big Bang Theory,37,2756,53
Big Bang Theory,37,2757,53
Big Bang Theory,37,2758,53
Big Bang Theory,37,2759,53
Big Bang Theory,37,2760,53
Big Bang Theory,37,2761,53
Big Bang Theory,37,2762,53
Big Bang Theory,37,2763,53
Big Bang Theory,37,2764,53
Big Bang Theory,37,2765,53
Big Bang Theory,36,2766,53
Big Bang Theory,36,2767,53
Big Bang Theory,36,2768,53
Big Bang Theory,36,2769,53
Big Bang Theory,36,2770,53
Big Bang Theory,36,2771,53
Big Bang Theory,36,2772,53
Big Bang Theory,36,2773,53
Big Bang Theory,36,2774,53
Big Bang Theory,36,2775,53
Big Bang Theory,36,2776,53
Big Bang Theory,36,2777,53
Big Bang Theory,36,2778,53
Big Bang Theory,36,2779,53
Big Bang Theory,36,2780,53
Big Bang Theory,36,2781,53
Big Bang Theory,36,2782,53
Big Bang Theory,36,2783,53
Big Bang Theory,36,2784,53
Big Bang Theory,36,2785,53
Big Bang Theory,36,2786,53
Big Bang Theory,35,2787,53
Big Bang Theory,35,2788,53
Big Bang Theory,35,2789,53
Big Bang Theory,35,2790,53
Big Bang Theory,35,2791,53
Big Bang Theory,35,2792,53
Big Bang Theory,35,2793,53
Big Bang Theory,35,2794,53
Big Bang Theory,34,2795,53
Big Bang Theory,34,2796,53
Big Bang Theory,34,2797,53
Big Bang Theory,34,2798,53
Big Bang Theory,34,2799,53
Big Bang Theory,34,2800,53
Big Bang Theory,34,2801,53
Big Bang Theory,34,2802,53
